id,job_title,skills_extracted
1,sr data scientist,"[""analytical skills"", ""quantify"", ""multivariate regressions"", ""investigates"", ""business processes"", ""predict"", ""forecast"", ""enrollment"", ""statistical models"", ""regression trees"", ""finance"", ""performance metrics"", ""healthcare"", ""data resources"", ""data"", ""statistical techniques"", ""predictions"", ""acquisition"", ""claims"", ""clustering methods"", ""analytic methods"", ""analyze"", ""operational"", ""communicate"", ""clinical"", ""linear models"", ""decision-making"", ""business"", ""hierarchical""]"
2,data scientist,"[""problem"", ""experimentation"", ""data-focused"", ""exploit"", ""innovative"", ""researching"", ""application development"", ""data holdings"", ""analytical thinking"", ""data sets"", ""troubleshooting"", ""technical"", ""reporting"", ""designing"", ""implementing"", ""infrastructure"", ""analytical"", ""data science"", ""analyze"", ""big data"", ""advanced analytics"", ""data analysis""]"
3,data scientist,"[""biotech"", ""strategy"", ""economics consulting"", ""health care analytics"", ""finance"", ""economics"", ""research"", ""life sciences"", ""analytical services"", ""pharma"", ""energy""]"
4,data scientist,"[""time series analysis"", ""deep learning"", ""developing"", ""investigates"", ""post manufacturing data"", ""applied research"", ""manufacturing data"", ""technologies"", ""time series data"", ""statistical"", ""data"", ""production logs"", ""machine learning"", ""manufacturing"", ""data science"", ""semiconductor manufacturing"", ""information processing"", ""software"", ""ai""]"
5,data scientist,"[""data asset"", ""technologies"", ""algorithms"", ""data"", ""data sciences"", ""market"", ""develop methodology"", ""support"", ""model building"", ""maintaining"", ""mar"", ""scale"", ""insights"", ""research"", ""learning"", ""machine learning infrastructure"", ""measurement methodology""]"
6,data scientist,"[""data engineering"", ""data science"", ""technology"", ""marketing"", ""strategy"", ""big-data"", ""sales"", ""innovative"", ""engineering"", ""bikes"", ""software development""]"
7,data scientist / machine learning expert,"[""pharmaceutical"", ""data"", ""global"", ""collaborative"", ""insights"", ""research"", ""medicines"", ""machine learning""]"
8,data scientist,"[""product management"", ""performance"", ""sql"", ""computer science"", ""monitor"", ""robot software"", ""statistics"", ""designing"", ""robots"", ""software performance"", ""python"", ""manage"", ""experimental design"", ""mathematics"", ""experiments"", ""kpis"", ""testing"", ""metrics"", ""physic"", ""management system"", ""hypothesis"", ""software""]"
9,staff data scientist - analytics,"[""data engineering"", ""data science"", ""data"", ""customer experiences"", ""marketing"", ""product management"", ""data analytics"", ""generate hypotheses"", ""business"", ""surface insights""]"
10,data scientist,"[""qabot"", ""data science"", ""implementing"", ""customer experiences"", ""real time messaging"", ""artificial intelligence"", ""write"", ""predictive analytics"", ""natural language processing"", ""collaborative"", ""real-time"", ""mathematical"", ""designing"", ""softwares"", ""hipercobot"", ""nlp"", ""cloud"", ""machine learning""]"
